S.No,Course Number,Prof,Dept,Students,Year,Sem
830,CHM636A,PRATIK SEN,CHM,23,2018-19,2
2052,CHM637A,M RANGANATHAN,CHM,17,2017-18,1
2053,CHM645A,J K BERA,CHM,33,2017-18,1
198,CHM645A,JITENDRA KUMAR BERA,CHM,9,2019-20,1
3291,CHM646A,S P RATH,CHM,36,2016-17,1
2707,CHM646A,SANKAR PRASAD  RATH,CHM,44,2017-18,2
1431,CHM646A,R N  MUKHERJEE,CHM,24,2018-19,1
199,CHM646A,SANKAR PRASAD RATH,CHM,51,2019-20,1
200,CHM647A,ANANTHARAMAN GANAPATHI,CHM,4,2019-20,1
2054,CHM648,S K KUNDU,CHM,1,2017-18,1
2055,CHM648A,S K KUNDU,CHM,18,2017-18,1
201,CHM648A,BASKER SUNDARARAJU,CHM,24,2019-20,1
3900,CHM649A,G ANATHARAMAN,CHM,16,2016-17,2
3292,CHM649A,P K BHARADWAJ,CHM,9,2016-17,1
2056,CHM649A,P K BHARADWAJ,CHM,7,2017-18,1
1432,CHM649A,JITENDRA  KUMAR  BERA,CHM,6,2018-19,1
831,CHM649A,BASKER SUNDARARAJU,CHM,14,2018-19,2
202,CHM649A,RAJA ANGAMUTHU,CHM,25,2019-20,1
2708,CHM650,KESHAVAMURTHY  SRIHARI,CHM,1,2017-18,2
2709,CHM650A,KESHAVAMURTHY  SRIHARI,CHM,10,2017-18,2
832,CHM650A,AMALENDU CHANDRA,CHM,22,2018-19,2
3901,CHM651A,P K BHARADWAJ,CHM,44,2016-17,2
2710,CHM651A,P K  BHARADWAJ,CHM,31,2017-18,2
1433,CHM651A,P K  BHARADWAJ,CHM,42,2018-19,1
203,CHM654A,P K BHARADWAJ,CHM,26,2019-20,1
3293,CHM655A,B SUNDARARAJU,CHM,18,2016-17,1
2711,CHM655A,ANANTHARAMAN  GANAPATHI,CHM,9,2017-18,2
3902,CHM662A,Y D VANKAR,CHM,35,2016-17,2
2712,CHM662A,VEEJENDRA KUMAR  YADAV,CHM,,2017-18,2
833,CHM662A,RAMESH RAMAPANICKER,CHM,24,2018-19,2
3294,CHM664,M CHANDRA,CHM,1,2016-17,1
3295,CHM664A,M CHANDRA,CHM,50,2016-17,1
2057,CHM664A,S MANOGARAN,CHM,52,2017-18,1
1434,CHM664A,THIRUVANCHERIL G  GOPAKUMAR,CHM,50,2018-19,1
204,CHM664A,MANABENDRA CHANDRA,CHM,48,2019-20,1
2058,CHM668,G ANANTHARAMAN,CHM,1,2017-18,1
2059,CHM668A,G ANANTHARAMAN,CHM,6,2017-18,1
1435,CHM668A,ANANTHARAMAN  GANAPATHI,CHM,14,2018-19,1
205,CHM668A,PRAKASH,CHM,10,2019-20,1
2060,CHM676A,SANDEEP VERMA,CHM,11,2017-18,1
1436,CHM676A,SANDEEP  VERMA,CHM,17,2018-19,1
1437,CHM681A,R  GURUNATH,CHM,6,2018-19,1
834,CHM681A,R GURUNATH,CHM,5,2018-19,2
3296,CHM683,T G GOPAKUMAR,CHM,1,2016-17,1
3297,CHM683A,T GOPAKUMAR,CHM,23,2016-17,1
206,CHM683A,THIRUVANCHERIL G GOPAKUMAR,CHM,20,2019-20,1
3903,CHM684A,S MANOGARAN,CHM,24,2016-17,2
2713,CHM684A,S  MANOGARAN,CHM,21,2017-18,2
835,CHM684A,S MANOGARAN,CHM,72,2018-19,2
207,CHM684A,NISANTH N NAIR,CHM,13,2019-20,1
208,CHM685A,PRATIK SEN,CHM,8,2019-20,1
2061,CHM687A,COURSE DROPPED,CHM,,2017-18,1
209,CHM691A,R N MUKHERJEE,CHM,31,2019-20,1
3904,CHM695,AMALENDU CHANDRA,CHM,1,2016-17,2
3905,CHM695A,AMALENDU CHANDRA,CHM,25,2016-17,2
2714,CHM695A,NISANTH N  NAIR,CHM,13,2017-18,2
3298,CHM696A,D GOSWAMI,CHM,13,2016-17,1
836,CHM696A,DEBABRATA GOSWAMI,CHM,24,2018-19,2
3299,CHM698A,S VERMA,CHM,12,2016-17,1
2715,CHM698A,SANDEEP  VERMA,CHM,8,2017-18,2
3906,CHM699A,P SEN,CHM,10,2016-17,2
3907,CHM700,CONVENER DUGC,CHM,38,2016-17,2
2716,CHM700,DEBABRATA  GOSWAMI,CHM,39,2017-18,2
837,CHM700,DEBABRATA GOSWAMI,CHM,40,2018-19,2
3908,CHM799,CONVENER DPGC,CHM,207,2016-17,2
3300,CHM799,CONVENOR DPGC,CHM,209,2016-17,1
2717,CHM799,MANAS KUMAR  GHORAI,CHM,205,2017-18,2
2062,CHM799,CONVENER DPGC,CHM,202,2017-18,1
1438,CHM799,MANAS KUMAR  GHORAI,CHM,184,2018-19,1
838,CHM799,PRATIK SEN,CHM,200,2018-19,2
210,CHM799,PRATIK SEN,CHM,201,2019-20,1
3909,CHM800,CONVENER DPGC,CHM,133,2016-17,2
3301,CHM800,CONVENOR DPGC,CHM,172,2016-17,1
2718,CHM800,MANAS KUMAR  GHORAI,CHM,84,2017-18,2
2063,CHM800,CONVENER DPGC,CHM,132,2017-18,1
3910,CHM800A,CONVENER DPGC,CHM,61,2016-17,2
3302,CHM800A,CONVENER DPGC,CHM,14,2016-17,1
2719,CHM800A,MANAS KUMAR  GHORAI,CHM,121,2017-18,2
2064,CHM800A,CONVENER DPGC,CHM,81,2017-18,1
1439,CHM800A,MANAS KUMAR  GHORAI,CHM,187,2018-19,1
839,CHM800A,PRATIK SEN,CHM,201,2018-19,2
211,CHM800A,PRATIK SEN,CHM,237,2019-20,1
3911,CHM801,CONVENER DPGC,CHM,135,2016-17,2
3303,CHM801,CONVENER DPGC,CHM,173,2016-17,1
2720,CHM801,MANAS KUMAR  GHORAI,CHM,78,2017-18,2
2065,CHM801,CONVENER DPGC,CHM,138,2017-18,1
3912,CHM801A,CONVENER DPGC,CHM,61,2016-17,2
3304,CHM801A,CONVENER DPGC,CHM,13,2016-17,1
2721,CHM801A,MANAS KUMAR  GHORAI,CHM,127,2017-18,2
2066,CHM801A,CONVENER DPGC,CHM,75,2017-18,1
1440,CHM801A,MANAS KUMAR  GHORAI,CHM,186,2018-19,1
840,CHM801A,PRATIK SEN,CHM,200,2018-19,2
212,CHM801A,PRATIK SEN,CHM,236,2019-20,1
4032,COM200,SUDHARSHANA N P,HSS,253,2016-17,2
3410,COM200,SAYAN CHATOPADHYAY,HSS,584,2016-17,1
2722,COM200,SUDHARSHANA N P,COM,232,2017-18,2
2067,COM200,SAYAN CHATTOPADHYAY,COM,581,2017-18,1
1441,COM200,MINI  CHANDRAN,COM,575,2018-19,1
845,COM200,SUDHARSHANA N P,COM,272,2018-19,2
213,COM200,T RAVICHANDRAN,COM,578,2019-20,1
3306,CS201A,NITIN SAXENA,CSE,114,2016-17,1
2068,CS201A,HARISH KARNICK,CSE,95,2017-18,1
1442,CS201A,RAJAT  MITTAL,CSE,111,2018-19,1
214,CS201A,ANIL SETH,CSE,119,2019-20,1
3307,CS202,S NANDAKUMAR,CSE,1,2016-17,1
3308,CS202A,S NANDAKUMAR,CSE,124,2016-17,1
2069,CS202A,SUNIL SIMON,CSE,102,2017-18,1
1443,CS202A,SUBHAJIT  ROY,CSE,121,2018-19,1
3309,CS203B,MANINDRA AGRAWAL,CSE,115,2016-17,1
2070,CS203B,MANINDRA AGRAWAL,CSE,98,2017-18,1
1444,CS203B,SURENDER  BASWANA,CSE,17,2018-19,1
3915,CS220A,INDRANIL SAHA,CSE,181,2016-17,2
2723,CS220A,MAINAK  CHAUDHURI,CSE,133,2017-18,2
846,CS220A,MAINAK CHAUDHURI,CSE,131,2018-19,2
3916,CS251A,ARNAB BHATTACHARYA,CSE,128,2016-17,2
2724,CS251A,DEBADATTA MISHRA,CSE,111,2017-18,2
847,CS251A,SUBHAJIT ROY,CSE,117,2018-19,2
3310,CS252A,"PIYUSH P KURUR 
S NANDAKUMAR",CSE,104,2016-17,1
2071,CS252A,SANDEEP SHUKLA,CSE,117,2017-18,1
1445,CS252A,NISHEETH  SRIVASTAVA,CSE,12,2018-19,1
215,CS252A,NISHEETH SRIVASTAVA,CSE,111,2019-20,1
3311,CS300A,"RAJAT MITTAL 
SUMIT GANGULY",CSE,97,2016-17,1
2073,CS300A,NITIN SAXENA,CSE,118,2017-18,1
2072,CS300A,RAJAT MITTAL,CSE,118,2017-18,1
1446,CS300A,SANDEEP KUMAR  SHUKLA,CSE,96,2018-19,1
216,CS300A,AJAI JAIN,CSE,99,2019-20,1
2725,CS315,MEDHA  ATRE,CSE,,2017-18,2
3917,CS315A,MEDHA ATRE,CSE,103,2016-17,2
2726,CS315A,MEDHA  ATRE,CSE,121,2017-18,2
848,CS315A,ARNAB BHATTACHARYA,CSE,138,2018-19,2
3312,CS330A,MAINAK CHAUDHURY,CSE,110,2016-17,1
2074,CS330A,MAINAK CHAUDHURI,CSE,140,2017-18,1
1447,CS330A,DEBADATTA  MISHRA,CSE,98,2018-19,1
217,CS330A,DEBADATTA MISHRA,CSE,123,2019-20,1
3918,CS335,AMEY KARKARE,CSE,2,2016-17,2
2727,CS335,SUBHAJIT  ROY,CSE,2,2017-18,2
3919,CS335A,AMEY KARKARE,CSE,103,2016-17,2
2728,CS335A,SUBHAJIT  ROY,CSE,137,2017-18,2
849,CS335A,AMEY KARKARE,CSE,99,2018-19,2
3313,CS340,SUNIL E SIMON,CSE,1,2016-17,1
2075,CS340,RAGHUNATH TEWARI,CSE,2,2017-18,1
3314,CS340A,SUNIL E SIMON,CSE,104,2016-17,1
2076,CS340A,RAGHUNATH TEWARI,CSE,134,2017-18,1
1448,CS340A,SUNIL EASAW  SIMON,CSE,98,2018-19,1
218,CS340A,RAGHUNATH TEWARI,CSE,139,2019-20,1
3315,CS345,SURENDRA BASWANA,CSE,2,2016-17,1
2077,CS345,SURENDRA BASWANA,CSE,1,2017-18,1
3316,CS345A,SURENDER BASWANA,CSE,122,2016-17,1
2078,CS345A,S BASWANA,CSE,133,2017-18,1
1449,CS345A,SHASHANK K  MEHTA,CSE,107,2018-19,1
219,CS345A,NITIN SAXENA,CSE,114,2019-20,1
3317,CS350A,ANIL SETH,CSE,46,2016-17,1
2079,CS350A,ANIL SETH,CSE,16,2017-18,1
1450,CS350A,SATYADEV  NANDAKUMAR,CSE,20,2018-19,1
220,CS350A,SATYADEV NANDAKUMAR,CSE,31,2019-20,1
2729,CS360A,VINAY P  NAMBOODIRI,CSE,43,2017-18,2
221,CS360A,VINAY P NAMBOODIRI,CSE,24,2019-20,1
3318,CS395A,CONVENER DUGC,CSE,8,2016-17,1
2080,CS395A,CONVENER DUGC,CSE,10,2017-18,1
1451,CS395A,NITIN  SAXENA,CSE,18,2018-19,1
222,CS395A,ANIL SETH,CSE,6,2019-20,1
3920,CS396A,CONVENER DPGC,CSE,42,2016-17,2
2730,CS396A,NITIN  SAXENA,CSE,35,2017-18,2
850,CS396A,ANIL SETH,CSE,24,2018-19,2
223,CS396A,ANIL SETH,CSE,2,2019-20,1
3921,CS422A,MAINAK CHAUDHUR I,CSE,54,2016-17,2
2731,CS422A,BISWABANDAN PANDA,CSE,14,2017-18,2
851,CS422A,BISWABANDAN PANDA,CSE,12,2018-19,2
3319,CS425A,SANDEEP KUMAR SHUKLA,CSE,83,2016-17,1
2081,CS425A,DHEERAJ SANGHI,CSE,103,2017-18,1
1452,CS425A,DHEERAJ  SANGHI,CSE,99,2018-19,1
2732,CS433A,AJAI  JAIN,CSE,,2017-18,2
