S.No,Course Number,Prof,Dept,Students,Year,Sem
412,MBA601A,B V PHANI,IME,58,2019-20,1
413,MBA601A,SUMAN SAURABH,IME,58,2019-20,1
414,MBA606A,ANOOP SINGH,IME,57,2019-20,1
415,MBA611A,RAHUL VARMAN,IME,58,2019-20,1
416,MBA623A,R R K SHARMA,IME,53,2019-20,1
417,MBA631A,AMIT SHUKLA,IME,52,2019-20,1
418,MBA634A,DEVLINA CHATTERJEE,IME,47,2019-20,1
419,MBA647A,SUBHAS CHANDRA MISRA,IME,39,2019-20,1
420,MBA651A,FAIZ HAMID,IME,56,2019-20,1
421,MBA664A,VIPIN B,IME,49,2019-20,1
422,MBA666A,RAGHU NANDAN SENGUPTA,IME,25,2019-20,1
423,MBA671A,DEEPU PHILIP,IME,8,2019-20,1
424,MBA697A,RAHUL VARMAN,IME,0,2019-20,1
425,MBA698A,RAHUL VARMAN,IME,106,2019-20,1
426,MBA701A,RAHUL VARMAN,IME,53,2019-20,1
427,MBA712A,AMIT SHUKLA,IME,15,2019-20,1
428,MBA713A,AMIT SHUKLA,IME,16,2019-20,1
429,MBA717A,RAHUL VARMAN,IME,20,2019-20,1
430,MBA749A,SHANKAR PRAWESH,IME,27,2019-20,1
431,MBA772A,SUMAN SAURABH,IME,37,2019-20,1
432,MBA774A,B V PHANI,IME,9,2019-20,1
433,MBA776A,SUMAN SAURABH,IME,24,2019-20,1
434,MBA777A,B V PHANI,IME,6,2019-20,1
453,ME251A,P VENKITANARAYANAN,ME,120,2019-20,1
454,ME301A,PRANAV RAMKRISHNA JOSHI,ME,135,2019-20,1
455,ME321A,ISHAN SHARMA,ME,112,2019-20,1
456,ME340A,SAMEER KHANDEKAR,ME,12,2019-20,1
457,ME352A,ANINDYA CHATTERJEE,ME,117,2019-20,1
458,ME361A,JANAKARAJAN RAMKUMAR,ME,110,2019-20,1
459,ME361A,SUPRATIK MUKHOPADHYAY,ME,110,2019-20,1
460,ME399A,B BHATTACHARYA,ME,112,2019-20,1
461,ME401A,ADITYA SAURABH,ME,101,2019-20,1
462,ME401A,SUBRATA SARKAR,ME,101,2019-20,1
463,ME451A,B BHATTACHARYA,ME,97,2019-20,1
464,ME452A,B BHATTACHARYA,ME,1,2019-20,1
465,ME498A,ASHISH DUTTA,ME,3,2019-20,1
466,ME621A,CHANDRAPRAKASH CHINDAM,ME,46,2019-20,1
467,ME623A,NACHIKETA TIWARI,ME,53,2019-20,1
468,ME625A,N S VYAS,ME,55,2019-20,1
469,ME626A,SHAKTI SINGH GUPTA,ME,5,2019-20,1
470,ME630A,K MURALIDHAR,ME,22,2019-20,1
471,ME631A,GAUTAM BISWAS,ME,61,2019-20,1
472,ME631A,SUBRATA SARKAR,ME,61,2019-20,1
473,ME641A,P S GHOSHDASTIDAR,ME,68,2019-20,1
474,ME645A,JISHNU BHATTACHARYA,ME,39,2019-20,1
475,ME647A,SACHIN Y SHINDE,ME,6,2019-20,1
476,ME661A,S K CHOUDHURY,ME,13,2019-20,1
477,ME662A,SHANTANU BHATTACHARYA,ME,13,2019-20,1
478,ME670A,ARVIND KUMAR,ME,10,2019-20,1
479,ME676A,ANUPAM SAXENA,ME,4,2019-20,1
480,ME681A,MALAY KUMAR DAS,ME,145,2019-20,1
481,ME685A,RAMESH NARAYANASWAMY,ME,24,2019-20,1
482,ME690A,AVINASH KUMAR AGARWAL,ME,18,2019-20,1
483,ME698M,ARUN KUMAR SAHA,ME,5,2019-20,1
484,ME698U,ANURAG GUPTA,ME,5,2019-20,1
485,ME699,SAMEER KHANDEKAR,ME,89,2019-20,1
486,ME699,ASHISH DUTTA,ME,89,2019-20,1
487,ME701A,NIRAJ SINHA,ME,6,2019-20,1
488,ME762A,BHASKAR DASGUPTA,ME,57,2019-20,1
489,ME766A,ASHISH DUTTA,ME,78,2019-20,1
490,ME778A,AKHILESH MIMANI,ME,5,2019-20,1
491,ME799,SAMEER KHANDEKAR,ME,152,2019-20,1
492,ME899,SAMEER KHANDEKAR,ME,19,2019-20,1
494,MS601A,RAJEEV GUPTA,MS,21,2019-20,1
495,MS601A,RAJ GANESH S PALA,MS,21,2019-20,1
496,MS602A,Y N MOHAPATRA,MS,21,2019-20,1
497,MS602A,MD JALEEL AKHTAR,MS,21,2019-20,1
498,MS603A,KAMAL K KAR,MS,19,2019-20,1
499,MS698A,SIDDHARTHA PANDA,MS,50,2019-20,1
500,MS699,MD JALEEL AKHTAR,MS,16,2019-20,1
501,MS799,MD JALEEL AKHTAR,MS,32,2019-20,1
503,MSE201A,KAUSTUBH NARHAR KULKARNI,MSE,73,2019-20,1
504,MSE300A,TANMOY MAITI,MSE,56,2019-20,1
505,MSE301A,RAJDIP MUKHERJEE,MSE,55,2019-20,1
506,MSE302A,SHASHANK SHEKHAR,MSE,58,2019-20,1
507,MSE303A,SOMNATH BHOWMICK,MSE,60,2019-20,1
508,MSE311A,ASHISH GARG,MSE,56,2019-20,1
509,MSE313A,NILESH PRAKASH GURAO,MSE,55,2019-20,1
510,MSE349A,ASHISH GARG,MSE,1,2019-20,1
511,MSE497A,ASHISH GARG,MSE,13,2019-20,1
512,MSE615A,MONICA KATIYAR,MSE,45,2019-20,1
513,MSE622A,ANSHU GAUR,MSE,11,2019-20,1
514,MSE626A,DIPAK MAZUMDAR,MSE,36,2019-20,1
515,MSE628A,SARANG INGOLE,MSE,18,2019-20,1
516,MSE642A,ANANDH SUBRAMANIAM,MSE,10,2019-20,1
517,MSE658A,SANDEEP SANGAL,MSE,36,2019-20,1
518,MSE659A,ANISH UPADHYAYA,MSE,27,2019-20,1
519,MSE664A,SHOBIT OMAR,MSE,22,2019-20,1
520,MSE670A,KALLOL MONDAL,MSE,57,2019-20,1
521,MSE671A,SUDHANSHU SHEKHAR SINGH,MSE,61,2019-20,1
522,MSE678A,AMARENDRA KUMAR SINGH,MSE,25,2019-20,1
523,MSE678A,BANKEY BEHARI AGRAWAL,MSE,25,2019-20,1
524,MSE690A,KANTESH BALANI,MSE,19,2019-20,1
525,MSE691A,KANTESH BALANI,MSE,17,2019-20,1
526,MSE693A,KANTESH BALANI,MSE,10,2019-20,1
527,MSE694A,KRISHANU BISWAS,MSE,56,2019-20,1
528,MSE699,AMARENDRA KUMAR SINGH,MSE,36,2019-20,1
529,MSE699,ASHISH GARG,MSE,36,2019-20,1
530,MSE799,AMARENDRA KUMAR SINGH,MSE,87,2019-20,1
532,MSO202A,KAUSHIK BAL,MTH,308,2019-20,1
533,MSO203B,T MUTHUKUMAR,MTH,511,2019-20,1
534,MTH101A,AMIT  SHEKHAR KUBER,MTH,1014,2019-20,1
535,MTH101A,SAMEER LAXMAN CHAVAN,MTH,1014,2019-20,1
536,MTH201A,SUDHANSHU SHEKHAR,MTH,99,2019-20,1
537,MTH201A,ARBIND KUMAR LAL,MTH,99,2019-20,1
538,MTH202A,NANDINI NILAKANTAN,MTH,43,2019-20,1
539,MTH215A,ALOK KUMAR MALOO,MTH,29,2019-20,1
540,MTH301A,P SHUNMUGARAJ,MTH,42,2019-20,1
541,MTH302A,MOHUA BANERJEE,MTH,71,2019-20,1
542,MTH305A,G SANTHANAM,MTH,107,2019-20,1
543,MTH391A,T MUTHUKUMAR,MTH,4,2019-20,1
544,MTH392A,T MUTHUKUMAR,MTH,2,2019-20,1
545,MTH393A,T MUTHUKUMAR,MTH,1,2019-20,1
546,MTH394A,T MUTHUKUMAR,MTH,0,2019-20,1
547,MTH399A,APARNA DAR,MTH,55,2019-20,1
548,MTH403A,SATYAJIT GUIN,MTH,111,2019-20,1
549,MTH405A,SASMITA PATNAIK,MTH,21,2019-20,1
550,MTH409A,SAKTIPADA GHORAI,MTH,76,2019-20,1
551,MTH412A,DEBASIS KUNDU,MTH,91,2019-20,1
552,MTH415A,MINERVA,MTH,47,2019-20,1
553,MTH424A,PROSENJIT ROY,MTH,62,2019-20,1
554,MTH428A,DHIRENDRA BAHUGUNA,MTH,71,2019-20,1
555,MTH430A,AKASH ANAND,MTH,45,2019-20,1
556,MTH431A,SUPRIO BHAR,MTH,47,2019-20,1
557,MTH432A,SHALABH,MTH,42,2019-20,1
558,MTH433A,ABHIJIT PAL,MTH,41,2019-20,1
559,MTH434A,DEBASIS SEN,MTH,41,2019-20,1
560,MTH511A,DOOTIKA VATS,MTH,63,2019-20,1
561,MTH515A,NEERAJ MISRA,MTH,32,2019-20,1
562,MTH517A,AMIT MITRA,MTH,70,2019-20,1
563,MTH522A,B V R KUMAR,MTH,1,2019-20,1
564,MTH598A,T MUTHUKUMAR,MTH,6,2019-20,1
565,MTH599A,T MUTHUKUMAR,MTH,0,2019-20,1
566,MTH607A,S KUMARESAN,MTH,6,2019-20,1
567,MTH612A,SACHIN SUBHASH SHARMA,MTH,9,2019-20,1
568,MTH621A,PARASAR MOHANTY,MTH,8,2019-20,1
569,MTH640A,AJAY SINGH RAMDIN THAKUR,MTH,5,2019-20,1
570,MTH649A,ASHIS MANDAL,MTH,11,2019-20,1
571,MTH658A,MALAY BANERJEE,MTH,19,2019-20,1
572,MTH667A,SANTOSHA KUMAR PATTANAYAK,MTH,3,2019-20,1
573,MTH669A,ARIJIT,MTH,4,2019-20,1
574,MTH673A,SUBHRA SANKAR DHAR,MTH,12,2019-20,1
575,MTH690A,SUBHAJIT DUTTA,MTH,22,2019-20,1
576,MTH697A,T MUTHUKUMAR,MTH,2,2019-20,1
577,MTH698A,T MUTHUKUMAR,MTH,2,2019-20,1
578,MTH699A,T MUTHUKUMAR,MTH,1,2019-20,1
579,MTH712A,SOMNATH JHA,MTH,9,2019-20,1
580,MTH713A,BIDYUT SANKI,MTH,7,2019-20,1
581,MTH721A,B V R KUMAR,MTH,60,2019-20,1
582,MTH753A,RAMA RAWAT,MTH,18,2019-20,1
583,MTH754A,DEBRAJ,MTH,6,2019-20,1
584,MTH755A,SHARMISHTHA MITRA,MTH,7,2019-20,1
585,MTH799,SHARMISHTHA MITRA,MTH,36,2019-20,1
3134,AE201A,D DAS,AE,62,2016-17,1
1865,AE201A,A C MANDAL,AE,62,2017-18,1
1252,AE201A,ALAKESH CHANDRA  MANDAL,AE,62,2018-19,1
0,AE201A,SANJAY MITTAL,AE,63,2019-20,1
3738,AE211A,SANJAY MITTAL,AE,57,2016-17,2
2521,AE211A,SANJAY  MITTAL,AE,58,2017-18,2
639,AE211A,NAVROSE,AE,56,2018-19,2
3739,AE251A,"SUDHIR KAMLE 
KAMAL PODDAR",AE,62,2016-17,2
2523,AE251A,SUDHIR  KAMLE,AE,60,2017-18,2
2522,AE251A,KAMAL  PODDAR,AE,60,2017-18,2
641,AE251A,SUDHIR KAMLE,AE,58,2018-19,2
640,AE251A,KAMAL PODDAR,AE,58,2018-19,2
3135,AE311A,E RATHAKRISHNAN,AE,51,2016-17,1
1866,AE311A,E RATHAKRISHNAN,AE,48,2017-18,1
1253,AE311A,MOHAMMED IBRAHIM  SUGARNO,AE,57,2018-19,1
1,AE311A,SANJAY KUMAR,AE,67,2019-20,1
3136,AE321A,A K GHOSH,AE,334,2016-17,1
1867,AE321A,MANGAL  KOTHARI,AE,51,2017-18,1
1254,AE321A,RAGHAVENDRA  P KUKILLAYA,AE,57,2018-19,1
2,AE321A,SUBRAHMANYAM SADERLA,AE,62,2019-20,1
3740,AE322A,A K GHOSH,AE,49,2016-17,2
2524,AE322A,RAGHAVENDRA KUKILLAYA,AE,52,2017-18,2
642,AE322A,RAGHAVENDRA P KUKILLAYA,AE,50,2018-19,2
3741,AE331,"R KITEY 
S KAMLE",AE,1,2016-17,2
3137,AE331,C S UPADHYAY,AE,1,2016-17,1
3742,AE331A,C S UPADHYAY,AE,3,2016-17,2
3138,AE331A,C S UPADHYAY,AE,58,2016-17,1
1868,AE331A,C S UPADHYAY,AE,59,2017-18,1
1255,AE331A,SUDHIR  KAMLE,AE,49,2018-19,1
3,AE331A,C S UPADHYAY,AE,65,2019-20,1
3743,AE341A,ABHIJIT KUSHARI,AE,49,2016-17,2
2525,AE341A,AJAY  SINGH,AE,52,2017-18,2
643,AE341A,AJAY VIKRAM SINGH,AE,54,2018-19,2
3744,AE351A,"DEBOPAM DAS 
D P MISHRA 
R KITEY",AE,49,2016-17,2
2527,AE351A,DEBOPAM  DAS,AE,52,2017-18,2
2526,AE351A,ABHIJIT  KUSHARI,AE,52,2017-18,2
645,AE351A,ASHOKE DE,AE,47,2018-19,2
644,AE351A,ABHIJIT KUSHARI,AE,47,2018-19,2
3745,AE361A,"DEBOPAM DAS 
ASHOK DE",AE,48,2016-17,2
2529,AE361A,A K    GHOSH,AE,53,2017-18,2
2528,AE361A,DEBOPAM  DAS,AE,53,2017-18,2
647,AE361A,SUBRAHMANYAM SADERLA,AE,48,2018-19,2
646,AE361A,SUDHIR KAMLE,AE,48,2018-19,2
3139,AE371A,CONVENER DUGC,AE,8,2016-17,1
1869,AE371A,CONVENER DUGC,AE,7,2017-18,1
1256,AE371A,SANJAY  KUMAR,AE,13,2018-19,1
648,AE371A,ALAKESH CHANDRA MANDAL,AE,0,2018-19,2
4,AE371A,ALAKESH CHANDRA MANDAL,AE,4,2019-20,1
3140,AE401A,R K MATHPAL,AE,49,2016-17,1
1870,AE401A,V ARGHODE,AE,48,2017-18,1
1257,AE401A,GOPALAKRISHNA M KAMATH,AE,53,2018-19,1
5,AE401A,RAGHAVENDRA P KUKILLAYA,AE,50,2019-20,1
3746,AE421A,A K GHOSH,AE,47,2016-17,2
2530,AE421A,A K    GHOSH,AE,49,2017-18,2
649,AE421A,A K GHOSH,AE,51,2018-19,2
3141,AE441A,D P MISHRA,AE,47,2016-17,1
1871,AE441A,V ARGHODE,AE,49,2017-18,1
1258,AE441A,SATHESH  MARIAPPAN,AE,47,2018-19,1
6,AE441A,D P MISHRA,AE,48,2019-20,1
3142,AE451A,"D DAS 
R KITEY 
V ARGHODE",AE,57,2016-17,1
1874,AE451A,P M MOHITE,AE,49,2017-18,1
1873,AE451A,ASHOK DE,AE,49,2017-18,1
1872,AE451A,A C MANDAL,AE,49,2017-18,1
1259,AE451A,ALAKESH CHANDRA  MANDAL,AE,50,2018-19,1
9,AE451A,A C MANDAL,AE,46,2019-20,1
8,AE451A,RAJESH KITEY,AE,46,2019-20,1
7,AE451A,SATHESH MARIAPPAN,AE,46,2019-20,1
3143,AE461A,M KOTHIARI,AE,49,2016-17,1
1875,AE461A,A TEWARI,AE,49,2017-18,1
1260,AE461A,A K    GHOSH,AE,52,2018-19,1
10,AE461A,A K GHOSH,AE,50,2019-20,1
3747,AE462A,ABHISHEK,AE,47,2016-17,2
2531,AE462A,GOPALAKRISHNA M KAMATH,AE,49,2017-18,2
650,AE462A,GOPALAKRISHNA M KAMATH,AE,51,2018-19,2
3748,AE471A,CONVENER DUGC,AE,6,2016-17,2
3144,AE471A,CONVENER DUGC,AE,47,2016-17,1
2532,AE471A,SANJAY  KUMAR,AE,12,2017-18,2
1876,AE471A,SANJAY KUMAR,AE,41,2017-18,1
1261,AE471A,SANJAY  KUMAR,AE,37,2018-19,1
651,AE471A,ALAKESH CHANDRA MANDAL,AE,8,2018-19,2
11,AE471A,ALAKESH CHANDRA MANDAL,AE,23,2019-20,1
3145,AE472,CONVENER DUGC,AE,1,2016-17,1
3749,AE472A,CONVENER DPGC,AE,6,2016-17,2
2533,AE472A,SANJAY  KUMAR,AE,11,2017-18,2
652,AE472A,ALAKESH CHANDRA MANDAL,AE,13,2018-19,2
12,AE472A,ALAKESH CHANDRA MANDAL,AE,1,2019-20,1
3146,AE473A,CONVENER DUGC,AE,1,2016-17,1
653,AE481A,SANJAY MITTAL,AE,41,2018-19,2
3147,AE601A,R K MATHPAL,AE,24,2016-17,1
1877,AE601A,R K MATHPAL,AE,18,2017-18,1
1262,AE601A,T K  SENGUPTA,AE,22,2018-19,1
13,AE601A,DEBOPAM DAS,AE,25,2019-20,1
3148,AE602A,ASHOKE DE,AE,63,2016-17,1
1878,AE602A,ASHOK DE,AE,37,2017-18,1
1263,AE602A,NAVROSE,AE,45,2018-19,1
14,AE602A,NAVROSE,AE,35,2019-20,1
1880,AE603A,R K MATHPAL (OE),AE,19,2017-18,1
1879,AE603A,T K SENGUPTA (OE),AE,19,2017-18,1
1265,AE603A,T K  SENGUPTA,AE,25,2018-19,1
1264,AE603A,RAKESH  KUMAR,AE,25,2018-19,1
3750,AE604A,T K SENGUPTA,AE,18,2016-17,2
2534,AE604A,T K  SENGUPTA,AE,26,2017-18,2
654,AE604A,T K SENGUPTA,AE,15,2018-19,2
1881,AE605A,T K SENGUPTA,AE,8,2017-18,1
1266,AE605A,T K  SENGUPTA,AE,5,2018-19,1
3149,AE606A,SANJAY KUMAR,AE,18,2016-17,1
1882,AE606A,SANJAY KUMAR (OE),AE,9,2017-18,1
1267,AE606A,SANJAY  KUMAR,AE,11,2018-19,1
3751,AE608A,V ARGHODE,AE,40,2016-17,2
2535,AE608A,RAKESH  KUMAR,AE,36,2017-18,2
655,AE608A,RAKESH KUMAR,AE,37,2018-19,2
3150,AE610A,K PODDAR,AE,31,2016-17,1
1883,AE610A,DEBOPAM DAS,AE,18,2017-18,1
1268,AE610A,KAMAL  PODDAR,AE,30,2018-19,1
15,AE610A,T K SENGUPTA,AE,22,2019-20,1
3752,AE612A,SANJAY KUMAR,AE,23,2016-17,2
2536,AE612A,MOHAMMED IBRAHIM SUGARNO,AE,15,2017-18,2
656,AE612A,MOHAMMED IBRAHIM SUGARNO,AE,20,2018-19,2
3151,AE614A,A C MANDAL,AE,50,2016-17,1
1884,AE614A,KAMAL PODDAR,AE,12,2017-18,1
1269,AE614A,DEBOPAM  DAS,AE,12,2018-19,1
16,AE614A,KAMAL PODDAR,AE,29,2019-20,1
3152,AE618A,S MITTAL,AE,39,2016-17,1
1885,AE618A,S MITTAL (OE),AE,51,2017-18,1
1270,AE618A,SANJAY  MITTAL,AE,29,2018-19,1
17,AE618A,SANJAY MITTAL,AE,33,2019-20,1
3753,AE621A,A C MANDAL,AE,34,2016-17,2
2537,AE621A,ALAKESH CHANDRA  MANDAL,AE,49,2017-18,2
657,AE621A,ALAKESH CHANDRA MANDAL,AE,51,2018-19,2
3754,AE625A,T K SENGUPTA,AE,9,2016-17,2
2538,AE625A,T K  SENGUPTA,AE,5,2017-18,2
658,AE625A,T K SENGUPTA,AE,5,2018-19,2
1271,AE630A,MANGAL  KOTHARI,AE,13,2018-19,1
18,AE630A,MANGAL KOTHARI,AE,9,2019-20,1
659,AE633A,DIPAK KUMAR GIRI,AE,28,2018-19,2
2539,AE640A,MANGAL  KOTHARI,AE,36,2017-18,2
660,AE640A,MANGAL KOTHARI,AE,27,2018-19,2
3755,AE641A,ASHISH TEWARI,AE,57,2016-17,2
2540,AE641A,ASHISH  TIWARI,AE,18,2017-18,2
3153,AE647A,ASHISH TEWARI,AE,5,2016-17,1
1887,AE647A,RAGHAVENDRA P KUKILLAYA,AE,12,2017-18,1
1886,AE647A,A K GHOSH,AE,12,2017-18,1
1272,AE647A,SUBRAHMANYAM  SADERLA,AE,9,2018-19,1
19,AE647A,RAGHAVENDRA P KUKILLAYA,AE,11,2019-20,1
3756,AE648A,MANGAL KOTHARI,AE,6,2016-17,2
2541,AE648A,SUBRAHMANYAM SADERLA,AE,7,2017-18,2
661,AE648A,SUBRAHMANYAM SADERLA,AE,6,2018-19,2
1273,AE649A,A K    GHOSH,AE,13,2018-19,1
20,AE649A,DIPAK KUMAR GIRI,AE,20,2019-20,1
662,AE653A,ABHIJIT KUSHARI,AE,16,2018-19,2
1274,AE657A,ABHIJIT  KUSHARI,AE,15,2018-19,1
2542,AE658A,ASHOKE  DE,AE,19,2017-18,2
3757,AE660A,ABHISHEK,AE,13,2016-17,2
2543,AE660A,ABHISHEK,AE,10,2017-18,2
3758,AE662A,D P MISHRA,AE,13,2016-17,2
2544,AE662A,D P  MISHRA,AE,5,2017-18,2
663,AE662A,D P MISHRA,AE,11,2018-19,2
3154,AE663A,S MARIAPPAN,AE,37,2016-17,1
1888,AE663A,D P MISHRA,AE,17,2017-18,1
1275,AE663A,D P  MISHRA,AE,14,2018-19,1
21,AE663A,ABHIJIT KUSHARI,AE,17,2019-20,1
3155,AE664A,A KUSHARI,AE,41,2016-17,1
1889,AE664A,ABHIJIT KUSHARI,AE,44,2017-18,1
1276,AE664A,AJAY  VIKRAM  SINGH,AE,15,2018-19,1
22,AE664A,AJAY VIKRAM SINGH,AE,12,2019-20,1
3759,AE665A,ASHOKE DE,AE,24,2016-17,2
2545,AE666A,ABHIJIT  KUSHARI,AE,44,2017-18,2
2546,AE667A,VAIBHAV  KUMAR  ARGHODE,AE,11,2017-18,2
664,AE667A,VAIBHAV KUMAR ARGHODE,AE,8,2018-19,2
3156,AE670A,P M MOHITE,AE,19,2016-17,1
1890,AE670A,PRITAM CHAKRABORTY,AE,10,2017-18,1
1277,AE670A,PRITAM  CHAKRABORTY,AE,15,2018-19,1
23,AE670A,TANMOY,AE,14,2019-20,1
1278,AE672A,C S  UPADHYAY,AE,18,2018-19,1
24,AE672A,PRITAM CHAKRABORTY,AE,4,2019-20,1
1891,AE673A,SUDHIR KAMLE,AE,88,2017-18,1
1279,AE673A,SUDHIR  KAMLE,AE,22,2018-19,1
3760,AE675A,PRITAM CHAKRABORTY,AE,47,2016-17,2
2547,AE675A,PRITAM  CHAKRABORTY,AE,54,2017-18,2
665,AE675A,C S UPADHYAY,AE,54,2018-19,2
3761,AE676A,C VENKATESAN,AE,9,2016-17,2
25,AE676A,GOPALAKRISHNA M KAMATH,AE,17,2019-20,1
2548,AE678A,C  VENKATESAN,AE,18,2017-18,2
1892,AE678A,C VENKATESAN,AE,,2017-18,1
3762,AE681A,R KITEY,AE,35,2016-17,2
2549,AE681A,P M  MOHITE,AE,22,2017-18,2
666,AE681A,PRITAM CHAKRABORTY,AE,26,2018-19,2
1894,AE682A,C S UPADHYAY,AE,5,2017-18,1
1893,AE682A,P D MANGALGIRI,AE,5,2017-18,1
1281,AE682A,C S  UPADHYAY,AE,6,2018-19,1
1280,AE682A,PRAKASH D MANGALGIRI,AE,6,2018-19,1
27,AE682A,C S UPADHYAY,AE,4,2019-20,1
26,AE682A,PRAKASH D MANGALGIRI,AE,4,2019-20,1
3157,AE684A,S KAMLE,AE,106,2016-17,1
2550,AE684A,SUDHIR  KAMLE,AE,91,2017-18,2
28,AE684A,SUDHIR KAMLE,AE,31,2019-20,1
3158,AE686,C VENKATESAN,AE,1,2016-17,1
3159,AE686A,C VENKATESAN,AE,15,2016-17,1
1895,AE686A,ABHISHEK,AE,20,2017-18,1
1282,AE686A,ABHISHEK,AE,19,2018-19,1
29,AE686A,ABHISHEK,AE,20,2019-20,1
3763,AE687A,C S UPADHYAY,AE,24,2016-17,2
2551,AE687A,RAJESH  KITEY,AE,12,2017-18,2
667,AE687A,P M MOHITE,AE,13,2018-19,2
3160,AE688A,ABHISHEK,AE,19,2016-17,1
1896,AE688A,G M KAMATH,AE,10,2017-18,1
1283,AE688A,GOPALAKRISHNA M KAMATH,AE,17,2018-19,1
30,AE688A,P M MOHITE,AE,11,2019-20,1
3764,AE690A,E RATHAKRISHNAN,AE,44,2016-17,2
1284,AE690A,RAKESH  KUMAR,AE,8,2018-19,1
31,AE690A,RAKESH KUMAR,AE,14,2019-20,1
3765,AE693A,P D MANGALGIRI,AE,6,2016-17,2
2552,AE693A,PRAKASH D  MANGALGIRI,AE,3,2017-18,2
668,AE693A,PRAKASH D MANGALGIRI,AE,4,2018-19,2
3766,AE694A,S MARIAPPAN,AE,21,2016-17,2
2553,AE694A,SATHESH  MARIAPPAN,AE,14,2017-18,2
2554,AE696A,E  RATHAKRISHNAN,AE,37,2017-18,2
3767,AE698A,KAMAL PODDAR,AE,32,2016-17,2
2555,AE698A,KAMAL  PODDAR,AE,29,2017-18,2
669,AE698A,KAMAL PODDAR,AE,33,2018-19,2
3768,AE699,CONVENER DPGC,AE,68,2016-17,2
3161,AE699,CONVENER DPGC,AE,62,2016-17,1
2557,AE699,SANJAY  KUMAR,AE,82,2017-18,2
2556,AE699,RAJESH  KITEY,AE,82,2017-18,2
1897,AE699,CONVENER DPGC,AE,71,2017-18,1
1286,AE699,SANJAY  KUMAR,AE,75,2018-19,1
1285,AE699,RAJESH  KITEY,AE,75,2018-19,1
671,AE699,ALAKESH CHANDRA MANDAL,AE,60,2018-19,2
670,AE699,SATHESH MARIAPPAN,AE,60,2018-19,2
33,AE699,ALAKESH CHANDRA MANDAL,AE,53,2019-20,1
32,AE699,SATHESH MARIAPPAN,AE,53,2019-20,1
1898,AE704A,R KITEY (OE),AE,12,2017-18,1
672,AE704A,RAJESH KITEY,AE,9,2018-19,2
34,AE720A,MOHAMMED IBRAHIM SUGARNO,AE,9,2019-20,1
3769,AE747A,R K MATHPAL,AE,29,2016-17,2
673,AE747A,SANJAY KUMAR,AE,26,2018-19,2
3162,AE777A,ASHISH TEWARI,AE,8,2016-17,1
1287,AE777A,ASHISH  TIWARI,AE,5,2018-19,1
35,AE777A,ASHISH TIWARI,AE,21,2019-20,1
1288,AE778A,ASHISH  TIWARI,AE,4,2018-19,1
3770,AE799,CONVENER DPGC,AE,85,2016-17,2
3163,AE799,CONVENER DPGC,AE,78,2016-17,1
2558,AE799,RAJESH  KITEY,AE,92,2017-18,2
1899,AE799,CONVENER DPGC,AE,89,2017-18,1
1289,AE799,RAJESH  KITEY,AE,94,2018-19,1
674,AE799,SATHESH MARIAPPAN,AE,98,2018-19,2
36,AE799,SATHESH MARIAPPAN,AE,99,2019-20,1
1290,AE899,RAJESH  KITEY,AE,5,2018-19,1
675,AE899,SATHESH MARIAPPAN,AE,11,2018-19,2
37,AE899,SATHESH MARIAPPAN,AE,12,2019-20,1
1560,ART102A,KOUMUDI  PATIL,HSS,127,2018-19,1
969,ART103A,SATYAKI ROY,HSS,74,2018-19,2
4033,ART105A,SATYAKI ROY,HSS,63,2016-17,2
3403,ART105A,SATYAKI ROY,HSS,112,2016-17,1
2559,ART105A,SATYAKI  ROY,HSS,181,2017-18,2
1901,ART105A,RITWIJ BHOWMIK,HSS,122,2017-18,1
1900,ART105A,SATYAKI ROY (HSS11),HSS,122,2017-18,1
3404,ART106A,S T ROY,HSS,143,2016-17,1
1902,ART106A,RITWIJ BHOWMIK,HSS,47,2017-18,1
1561,ART106A,RITWIJ  BHOWMIK,HSS,87,2018-19,1
335,ART106A,RITWIJ BHOWMIK,HSS,132,2019-20,1
4034,ART401A,RITWIJ BHOWMIK,HSS,87,2016-17,2
3405,ART401A,RITWIJ BHOWMIK,HSS,79,2016-17,1
2560,ART401A,RITWIJ BHOWMIK,HSS,101,2017-18,2
970,ART401A,RITWIJ BHOWMIK,HSS,98,2018-19,2
2561,ART402,KOUMUDI  PATIL,HSS,1,2017-18,2
3406,ART402A,K P PATIL,HSS,69,2016-17,1
2562,ART402A,KOUMUDI  PATIL,HSS,74,2017-18,2
1562,ART402A,SATYAKI  ROY,HSS,61,2018-19,1
971,ART402A,KOUMUDI PATIL,HSS,66,2018-19,2
336,ART402A,KOUMUDI PATIL,HSS,79,2019-20,1
1563,ART406A,SHATARUPA THAKURTA  ROY,HSS,77,2018-19,1
972,ART406A,SHATARUPA THAKURTA ROY,HSS,58,2018-19,2
337,ART406A,SHATARUPA THAKURTA ROY,HSS,78,2019-20,1
4035,ART411A,KOUMUDI P PATIL,HSS,95,2016-17,2
1903,ART411A,K P PATIL (HS2),HSS,136,2017-18,1
1564,ART701A,SHATARUPA THAKURTA  ROY,HSS,2,2018-19,1
338,ART701A,KOUMUDI PATIL,HSS,2,2019-20,1
4036,ART703A,"RITWIJ BHOWMIK 
SATYAKI ROY",HSS,11,2016-17,2
2564,ART703A,SATYAKI  ROY,HSS,16,2017-18,2
2563,ART703A,RITWIJ BHOWMIK,HSS,16,2017-18,2
